SEQID,ID,Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ88969.barcode85,MARS2023-Gr11-AC-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode91,MAR2020-JAR-AC-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode93,MARS2023-Gr8-AC-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ89233.barcode08,PAD2023-Gr2-AC-2,000,000,000,000,000,000,000,000,000,000,000,000
PAQ89233.barcode43,HJØSTX2023-Gr3-ISP2-2,000,000,000,000,000,000,000,000,000,000,000,000
PAQ89233.barcode47,HASS2023-Gr6-ISP2-16,000,000,000,000,000,000,000,000,000,000,000,000
PAQ89233.barcode49,HASS2023-Gr6-ISP2-11,000,000,000,000,000,000,000,000,000,000,000,000
PAQ89233.barcode07,FJER2023-Gr2-AC-6,000,000,111,000,000,111,111,000,000,000,111,000
PAQ89233.barcode15,SILK2023-Gr3-AC-5,000,000,000,111,000,000,000,000,000,000,000,000
PAQ89233.barcode17,AAGV2022-Gr1-AC-16,000,100,000,000,100,000,000,100,111,110,111,110
PAQ89233.barcode19,SILK2023-Gr2-AC-17,000,000,000,000,000,111,000,000,000,000,000,000
PAQ89233.barcode21,HJØRSTX2023-Gr2-AC-2,000,000,000,000,000,100,000,000,000,000,000,000
PAQ89233.barcode31,FJER2023-Gr7-AC-18,000,100,000,100,000,100,000,110,100,000,000,000
PAQ89233.barcode33,VHG2023-Gr6-AC-7,000,000,110,001,000,000,000,011,000,000,000,000
PAQ89233.barcode39,EGAA2023-Gr4-AC-9,000,000,101,111,000,110,000,000,111,000,000,000
PAQ89233.barcode41,STG2023-Gr1-ISP2-7,000,000,000,000,011,111,000,000,000,011,000,000
PAQ89233.barcode59,MARS2023-Gr5-LB-16,000,000,111,111,000,110,000,110,111,000,000,000
PAQ89233.barcode64,VHG2023-Gr5-BHI-13,000,000,000,000,111,111,000,000,000,000,111,000
PAQ89233.barcode66,VHG2023-Gr4-BHI-16,000,111,111,111,111,000,000,001,110,111,111,111
PAQ89233.barcode09,EGAA2023-Gr9-AC-17,100,000,111,000,000,001,000,000,000,000,000,000
PAQ89233.barcode28,VHG2023-Gr6-AC-4,100,000,000,000,000,000,000,000,000,000,111,000
PAQ89233.barcode51,VHG2023-Gr7-ISP2-15,100,000,000,100,110,100,000,000,000,111,111,000
PAQ89233.barcode03,AAK2023-Gr3-AC-16,110,000,000,000,000,000,000,000,000,000,000,000
PAQ89233.barcode04,AAGV2022-Gr5-AC-2,011,011,111,000,011,110,111,111,000,111,000,111
PAQ89233.barcode11,EGAA2023-Gr2-AC-3,110,000,111,110,000,110,000,000,000,000,000,000
PAQ89233.barcode22,VHG2023-Gr11-AC-5,110,111,000,011,000,011,111,000,100,000,111,000
PAQ89233.barcode34,EGAA2023-Gr3-AC-2,110,000,110,111,111,110,111,111,011,110,111,011
PAQ89233.barcode37,EGAA2023-Gr2-AC-8,110,000,000,000,100,110,110,111,111,000,110,110
PAQ89233.barcode40,EGAA2023-Gr8-AC-17,110,110,000,001,110,110,111,000,100,110,000,000
PAQ89233.barcode42,FJER2023-Gr6-ISP2-12,011,000,101,000,011,111,000,000,000,111,111,000
PAQ89233.barcode45,STG2023-Gr1-ISP2-14,110,110,111,111,000,111,111,110,110,110,111,111
PAQ89233.barcode46,STG2023-Gr1-ISP2-18,110,110,111,111,000,111,111,110,110,110,111,111
PAQ89233.barcode52,VHG2023-Gr2-ISP2-17,110,000,110,000,000,000,111,000,000,110,000,000
PAQ89233.barcode65,SILK2023-Gr2-BHI-5,110,000,110,111,000,110,111,000,000,000,000,000
PAQ89233.barcode76,HJØRSTX2023-Gr1-AC-20,110,100,000,000,110,000,000,000,000,000,110,000
PAQ89233.barcode05,AAGV2022-Gr5-AC-1,111,011,111,000,110,011,111,111,000,111,000,111
PAQ89233.barcode06,VHG2023-Gr11-AC-7,111,000,111,000,111,111,111,000,000,000,000,000
PAQ89233.barcode12,PAD2023-Gr3-AC-12,111,000,000,000,000,000,111,000,000,000,000,000
PAQ89233.barcode13,SILK2023-Gr3-AC-6,111,111,111,111,111,111,111,111,111,111,111,111
PAQ89233.barcode16,FJER2023-Gr4-AC-4,111,111,000,111,011,111,000,000,111,111,111,111
PAQ89233.barcode18,AAGV2022-Gr2-AC-4,111,000,111,000,111,111,011,000,000,000,000,000
PAQ89233.barcode20,EGAA2023-Gr10-AC-16,111,000,110,000,110,111,000,111,111,000,111,111
PAQ89233.barcode23,PADE2023-Gr3-AC-6,111,000,000,000,000,000,111,000,000,000,111,000
PAQ89233.barcode24,AAGV2022-Gr1-AC-8,111,111,111,111,111,111,111,111,111,111,111,111
PAQ89233.barcode25,AAGV2022-Gr1-AC-10,111,000,000,000,000,111,111,000,111,000,000,000
PAQ89233.barcode26,HJØREUC2023-Gr3-AC-1,111,000,110,111,110,111,111,110,000,110,110,000
PAQ89233.barcode29,VHG2023-Gr6-AC-3,111,000,000,000,000,000,111,000,100,000,000,000
PAQ89233.barcode32,VHG2023-Gr6-AC-1,111,000,111,000,000,011,111,111,000,011,000,000
PAQ89233.barcode35,PADE2023-Gr10-AC-5,111,000,000,000,000,000,111,000,000,000,000,000
PAQ89233.barcode36,HJØREUC2023-Gr2-AC-14,111,111,111,111,111,111,111,111,111,111,111,111
PAQ89233.barcode38,EGAA2023-Gr10-AC-18,111,000,101,000,110,110,000,111,111,000,111,111
PAQ89233.barcode48,HASS2023-Gr6-ISP2-12,111,000,000,000,000,000,111,000,000,000,000,000
PAQ89233.barcode50,HASS2023-Gr6-ISP2-14,111,000,110,000,000,000,111,000,000,000,000,000
PAQ89233.barcode60,DRON2023-Gr6-LB-9,111,000,111,110,110,000,111,111,111,111,110,000
PAQ89233.barcode63,VHG2023-Gr4-BHI-4,111,100,111,101,000,110,111,111,100,000,000,000
PAQ89233.barcode67,EGAA2023-Gr3-BHI-20,111,000,111,000,111,111,111,110,000,000,111,000
