SEQID,ID,FCID,School,Date of collection,Bioactive (0/1),Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ87969.barcode93,SILK2023-Gr14-ISP2-14,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,111,000,000,111,000,000,000,000,000,000,111
PAQ87969.barcode94,VIBY2021-Gr5-ISP2-19,PAQ87969,Viby Gymnasium,2021-08-01T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode95,MIDD2022-Gr7-ISP2-4,PAQ87969,Middelfart Gymnasium,2022-09-20T00:00:00Z,1,111,111,000,111,111,000,000,000,000,000,111,111
PAQ87969.barcode96,MAR2020-CLARA-ISP2-13,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,000,110,111,000,000,110,000,111,111,111,111,000
PAQ88969.barcode03,PAD2021-Gr6-10%NB-2,PAQ88969,Paderup Gymnasium,2021-04-13T00:00:00Z,1,000,000,111,111,111,111,000,000,111,111,111,111
PAQ88969.barcode04,MIDD2022-Gr17-AC-5,PAQ88969,Middelfart Gymnasium,2022-09-20T00:00:00Z,1,111,100,110,000,000,100,111,000,000,000,000,000
PAQ88969.barcode05,MKM2023-1.4,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode06,AKAT2023-Gr3-AC-10,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode07,SILK2023-Gr5-AC-15,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,000,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode08,SILK2023-Gr7-AC-18,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode11,ASG2021-Gr3-10%NB-7,PAQ88969,Aarhus Statsgymnasium,2021-08-11T00:00:00Z,1,111,000,110,000,000,000,000,000,000,000,000,000
PAQ88969.barcode12,MIDD2022-Gr17-AC-2,PAQ88969,Middelfart Gymnasium,2022-09-20T00:00:00Z,1,111,000,110,000,000,110,111,000,111,111,000,111
PAQ88969.barcode13,AAST2022-Gr1-PDA-7,PAQ88969,Aarhus Statsgymnasium,2022-08-25T00:00:00Z,1,111,000,100,000,000,000,111,000,000,000,000,000
PAQ88969.barcode14,AKAT2023-Gr1-AC-5,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode15,SILK2023-Gr6-AC-25,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode16,SILK2023-Gr8-AC-10,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,111,000,111,111,111,111,000,111,000,000
PAQ88969.barcode19,VIBO2023-Gr3-10%NB-3,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode20,MAR2021-Gr2-AC-32,PAQ88969,Marselisborg Gymnasium,2021-10-05T00:00:00Z,1,000,000,000,000,000,000,100,000,100,110,000,000
PAQ88969.barcode21,MKM2023-1.5.1,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode22,AKAT2023-Gr1-AC-10,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode23,GG2023-Gr2-AC-1,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode24,SILK2023-Gr15-AC-14,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,111,111,111,111,111,111,111,111,111,111,111
PAQ88969.barcode27,MAR2020-SAED-10%NB-22,PAQ88969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,111,111,000,000,111,111,000,111,000,111
PAQ88969.barcode28,RØD2022-Gr7-AC-14,PAQ88969,Rødkilde Gymnasium,2022-01-18T00:00:00Z,1,110,110,111,111,000,110,111,111,000,111,111,000
PAQ88969.barcode29,MKM2023-1.5.2,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode30,MARS2023-Gr12-AC-19,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode31,MARS2023-Gr1-AC-8,PAQ88969,Marselisborg Gym,2023-09-20T00:00:00Z,1,000,000,000,111,000,000,000,000,000,000,000,000
PAQ88969.barcode32,HJØR2023-Gr3-AC-16,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,110,000,000,000,000,110,110,000,110,000,100,000
PAQ88969.barcode35,AKAT2020-Gr5-10%NB-22,PAQ88969,Aarhus Katedralskole,2020-10-29T00:00:00Z,1,000,000,111,000,000,000,000,000,000,000,000,000
PAQ88969.barcode36,CELF2021-Gr2-ISP2-2,PAQ88969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,111,000,111,000,000,111,111,000,000,111,000,000
PAQ88969.barcode37,MKM2023-1.5.3,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode38,SILK2023-Gr15-AC-13,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,111,100,000,110,111,000,000,000,100,000
PAQ88969.barcode39,VIBO2023-Gr14-AC-15,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode40,HJØR2023-Gr3-AC-18,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,110,111,000,110,110,000,111,111,110,000,000
PAQ88969.barcode43,MUNK2022-Gr13-10%NB-16,PAQ88969,Munkensdam Gymnasium,2022-09-05T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode44,CELF2021-Gr4-PDA-4,PAQ88969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode45,MKM2023-1.5.4,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode46,SILK2023-Gr13-AC-9,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,110,000,100,000,110,111,111,111,111,111,111
PAQ88969.barcode47,VIBO2023-Gr14-AC-11,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,000,000,111,111,000,000,000,000,000
PAQ88969.barcode48,HJØR2023-Gr1-AC-5,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,100,110,000,000,000,111,110,000,000,000,000
PAQ88969.barcode51,SKAND3z2021-Gr3-10%NB-16,PAQ88969,Skanderborg Gymnasium,2021-10-26T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ88969.barcode52,AAST2022-Gr1-PDA-7,PAQ88969,Aarhus Statsgymnasium,2022-08-25T00:00:00Z,1,111,000,100,000,000,000,111,000,000,000,000,000
PAQ88969.barcode53,MKM2023-1.5.5,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode54,SILK2023-Gr13-AC-11,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,110,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode55,VIBO2023-Gr13-AC-19,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,000,111,111,111,111,000,111,000,000
PAQ88969.barcode56,HJØR2023-Gr4-AC-15,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode59,HJØR2022-Gr5-AC-6,PAQ88969,Hjørring Gymnasium,2022-11-07T00:00:00Z,1,100,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode60,AAGV2022-Gr6-PDA-30,PAQ88969,Aarhus Gymnasium Viby,2022-11-15T00:00:00Z,1,000,000,100,000,000,000,000,000,000,000,000,000
PAQ88969.barcode61,MARS2023-Gr1-AC-5,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode62,SILK2023-Gr11-AC-14,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode63,VIBO2023-Gr6-AC-17,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode64,HJØR2023-Gr4-AC-17,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
PAQ88969.barcode67,MARS2BK2022-Gr3-AC-16,PAQ88969,"Marselisborg Gymnasium, 2BK",2022-09-13T00:00:00Z,1,110,000,111,000,110,111,111,110,110,111,000,111
PAQ88969.barcode68,CELF2021-Gr4-PDA-19,PAQ88969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,000,000,111,000,000,000,000,111,000,000,000,000
PAQ88969.barcode69,GLHE2023-Gr8-AC-9,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode70,SILK2023-Gr9-AC-7,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,000,110,100,100,000,111,000,111,110,111,111,000
PAQ88969.barcode71,VIBO2023-Gr2-AC-8,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode72,HJØR2023-Gr5-AC-8,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,000,000,100,110,111,000,000,000,000,000
PAQ88969.barcode74,HJØR2022-Gr11-ISP2-8,PAQ88969,Hjørring Gymnasium,2022-11-07T00:00:00Z,1,111,000,000,000,100,100,111,000,000,000,000,000
PAQ88969.barcode75,CELF2021-Gr3-AC-8,PAQ88969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,111,111,111,110,111,000,110,110,110,110,000,110
PAQ88969.barcode76,HJØREUC2023-Gr1-PDA-2,PAQ88969,Hjørring EUC HTX,2023-04-12T00:00:00Z,1,000,000,000,000,000,000,000,111,000,000,000,000
PAQ88969.barcode77,MARS2023-Gr11-AC-8,PAQ88969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ88969.barcode78,SILK2023-Gr10-AC-14,PAQ88969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,000,000,000,000,000,000,111,000,000,000,000,000
PAQ88969.barcode79,VIBO2023-Gr7-AC-13,PAQ88969,Viborg Gymnasium,2023-08-17T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ88969.barcode80,HJØR2023-Gr6-AC-1,PAQ88969,Hjørring HTX,2023-03-14T00:00:00Z,1,000,000,000,100,000,110,000,110,000,000,000,000
PAQ88969.barcode82,BJE2020-Gr1-10%NB-6,PAQ88969,Bjerringbro Gymnasium,2020-11-02T00:00:00Z,1,111,000,111,000,000,000,111,000,000,000,000,000
